month,level_1,level_2,value
1964-12,Number Of Air Passenger Departures,Oceania,na
1964-12,Number Of Air Passenger Departures,Europe,na
1964-12,Number Of Air Passenger Departures,North America,na
1964-12,Number Of Air Passenger Departures,Other Regions,na
1965-01,Number Of Air Passenger Departures,South East Asia,na
1965-01,Number Of Air Passenger Departures,North East Asia,na
1965-01,Number Of Air Passenger Departures,South Asia,na
1965-01,Number Of Air Passenger Departures,Middle East,na
1965-01,Number Of Air Passenger Departures,Oceania,na
1965-01,Number Of Air Passenger Departures,Europe,na
1965-01,Number Of Air Passenger Departures,North America,na
1965-01,Number Of Air Passenger Departures,Other Regions,na
1965-02,Number Of Air Passenger Departures,South East Asia,na
1965-02,Number Of Air Passenger Departures,North East Asia,na
1965-02,Number Of Air Passenger Departures,South Asia,na
1965-02,Number Of Air Passenger Departures,Middle East,na
1965-02,Number Of Air Passenger Departures,Oceania,na
1965-02,Number Of Air Passenger Departures,Europe,na
1965-02,Number Of Air Passenger Departures,North America,na
1965-02,Number Of Air Passenger Departures,Other Regions,na
1965-03,Number Of Air Passenger Departures,South East Asia,na
1965-03,Number Of Air Passenger Departures,North East Asia,na
1965-03,Number Of Air Passenger Departures,South Asia,na
1965-03,Number Of Air Passenger Departures,Middle East,na
1965-03,Number Of Air Passenger Departures,Oceania,na
1965-03,Number Of Air Passenger Departures,Europe,na
1965-03,Number Of Air Passenger Departures,North America,na
1965-03,Number Of Air Passenger Departures,Other Regions,na
1965-04,Number Of Air Passenger Departures,South East Asia,na
1965-04,Number Of Air Passenger Departures,North East Asia,na
1965-04,Number Of Air Passenger Departures,South Asia,na
1965-04,Number Of Air Passenger Departures,Middle East,na
1965-04,Number Of Air Passenger Departures,Oceania,na
1965-04,Number Of Air Passenger Departures,Europe,na
1965-04,Number Of Air Passenger Departures,North America,na
1965-04,Number Of Air Passenger Departures,Other Regions,na
1965-05,Number Of Air Passenger Departures,South East Asia,na
1965-05,Number Of Air Passenger Departures,North East Asia,na
1965-05,Number Of Air Passenger Departures,South Asia,na
1965-05,Number Of Air Passenger Departures,Middle East,na
1965-05,Number Of Air Passenger Departures,Oceania,na
1965-05,Number Of Air Passenger Departures,Europe,na
1965-05,Number Of Air Passenger Departures,North America,na
1965-05,Number Of Air Passenger Departures,Other Regions,na
1965-06,Number Of Air Passenger Departures,South East Asia,na
1965-06,Number Of Air Passenger Departures,North East Asia,na
1965-06,Number Of Air Passenger Departures,South Asia,na
1965-06,Number Of Air Passenger Departures,Middle East,na
1965-06,Number Of Air Passenger Departures,Oceania,na
1965-06,Number Of Air Passenger Departures,Europe,na
1965-06,Number Of Air Passenger Departures,North America,na
1965-06,Number Of Air Passenger Departures,Other Regions,na
1965-07,Number Of Air Passenger Departures,South East Asia,na
1965-07,Number Of Air Passenger Departures,North East Asia,na
1965-07,Number Of Air Passenger Departures,South Asia,na
1965-07,Number Of Air Passenger Departures,Middle East,na
1965-07,Number Of Air Passenger Departures,Oceania,na
1965-07,Number Of Air Passenger Departures,Europe,na
1965-07,Number Of Air Passenger Departures,North America,na
1965-07,Number Of Air Passenger Departures,Other Regions,na
1965-08,Number Of Air Passenger Departures,South East Asia,na
1965-08,Number Of Air Passenger Departures,North East Asia,na
1965-08,Number Of Air Passenger Departures,South Asia,na
1965-08,Number Of Air Passenger Departures,Middle East,na
1965-08,Number Of Air Passenger Departures,Oceania,na
1965-08,Number Of Air Passenger Departures,Europe,na
1965-08,Number Of Air Passenger Departures,North America,na
1965-08,Number Of Air Passenger Departures,Other Regions,na
1965-09,Number Of Air Passenger Departures,South East Asia,na
1965-09,Number Of Air Passenger Departures,North East Asia,na
1965-09,Number Of Air Passenger Departures,South Asia,na
1965-09,Number Of Air Passenger Departures,Middle East,na
1965-09,Number Of Air Passenger Departures,Oceania,na
1965-09,Number Of Air Passenger Departures,Europe,na
1965-09,Number Of Air Passenger Departures,North America,na
1965-09,Number Of Air Passenger Departures,Other Regions,na
1965-10,Number Of Air Passenger Departures,South East Asia,na
1965-10,Number Of Air Passenger Departures,North East Asia,na
1965-10,Number Of Air Passenger Departures,South Asia,na
1965-10,Number Of Air Passenger Departures,Middle East,na
1965-10,Number Of Air Passenger Departures,Oceania,na
1965-10,Number Of Air Passenger Departures,Europe,na
1965-10,Number Of Air Passenger Departures,North America,na
1965-10,Number Of Air Passenger Departures,Other Regions,na
1965-11,Number Of Air Passenger Departures,South East Asia,na
1965-11,Number Of Air Passenger Departures,North East Asia,na
1965-11,Number Of Air Passenger Departures,South Asia,na
1965-11,Number Of Air Passenger Departures,Middle East,na
1965-11,Number Of Air Passenger Departures,Oceania,na
1965-11,Number Of Air Passenger Departures,Europe,na
1965-11,Number Of Air Passenger Departures,North America,na
