month,level_1,level_2,level_3,value
1963-12,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1963-12,Number Of Air Passenger Departures,North East Asia,China,na
1963-12,Number Of Air Passenger Departures,North East Asia,Hong Kong,1529
1963-12,Number Of Air Passenger Departures,North East Asia,Japan,103
1963-12,Number Of Air Passenger Departures,Europe,United Kingdom,647
1963-12,Number Of Air Passenger Departures,Europe,France,na
1963-12,Number Of Air Passenger Departures,Europe,Germany,na
1964-01,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1964-01,Number Of Air Passenger Departures,South East Asia,Indonesia,4
1964-01,Number Of Air Passenger Departures,South East Asia,Thailand,1431
1964-01,Number Of Air Passenger Departures,South East Asia,Philippines,273
1964-01,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1964-01,Number Of Air Passenger Departures,North East Asia,China,na
1964-01,Number Of Air Passenger Departures,North East Asia,Hong Kong,1024
1964-01,Number Of Air Passenger Departures,North East Asia,Japan,72
1964-01,Number Of Air Passenger Departures,Europe,United Kingdom,591
1964-01,Number Of Air Passenger Departures,Europe,France,na
1964-01,Number Of Air Passenger Departures,Europe,Germany,na
1964-02,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1964-02,Number Of Air Passenger Departures,South East Asia,Indonesia,5
1964-02,Number Of Air Passenger Departures,South East Asia,Thailand,1926
1964-02,Number Of Air Passenger Departures,South East Asia,Philippines,454
1964-02,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1964-02,Number Of Air Passenger Departures,North East Asia,China,na
1964-02,Number Of Air Passenger Departures,North East Asia,Hong Kong,1517
1964-02,Number Of Air Passenger Departures,North East Asia,Japan,69
1964-02,Number Of Air Passenger Departures,Europe,United Kingdom,1470
1964-02,Number Of Air Passenger Departures,Europe,France,na
1964-02,Number Of Air Passenger Departures,Europe,Germany,na
1964-03,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1964-03,Number Of Air Passenger Departures,South East Asia,Indonesia,15
1964-03,Number Of Air Passenger Departures,South East Asia,Thailand,2612
1964-03,Number Of Air Passenger Departures,South East Asia,Philippines,505
1964-03,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1964-03,Number Of Air Passenger Departures,North East Asia,China,na
1964-03,Number Of Air Passenger Departures,North East Asia,Hong Kong,1904
1964-03,Number Of Air Passenger Departures,North East Asia,Japan,160
1964-03,Number Of Air Passenger Departures,Europe,United Kingdom,614
1964-03,Number Of Air Passenger Departures,Europe,France,na
1964-03,Number Of Air Passenger Departures,Europe,Germany,na
1964-04,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1964-04,Number Of Air Passenger Departures,South East Asia,Indonesia,114
1964-04,Number Of Air Passenger Departures,South East Asia,Thailand,2649
1964-04,Number Of Air Passenger Departures,South East Asia,Philippines,392
1964-04,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1964-04,Number Of Air Passenger Departures,North East Asia,China,na
1964-04,Number Of Air Passenger Departures,North East Asia,Hong Kong,2022
1964-04,Number Of Air Passenger Departures,North East Asia,Japan,180
1964-04,Number Of Air Passenger Departures,Europe,United Kingdom,682
1964-04,Number Of Air Passenger Departures,Europe,France,na
1964-04,Number Of Air Passenger Departures,Europe,Germany,na
