month,level_1,level_2,value
2016-02,Number Of Air Passenger Arrivals,North East Asia,624242
2016-02,Number Of Air Passenger Arrivals,South Asia,202536
2016-02,Number Of Air Passenger Arrivals,Middle East,59565
2016-02,Number Of Air Passenger Arrivals,Oceania,215850
2016-02,Number Of Air Passenger Arrivals,Europe,145452
2016-02,Number Of Air Passenger Arrivals,North America,15020
2016-02,Number Of Air Passenger Arrivals,Other Regions,5906
2016-03,Number Of Air Passenger Arrivals,South East Asia,1114934
2016-03,Number Of Air Passenger Arrivals,North East Asia,637195
2016-03,Number Of Air Passenger Arrivals,South Asia,200882
2016-03,Number Of Air Passenger Arrivals,Middle East,69939
2016-03,Number Of Air Passenger Arrivals,Oceania,242636
2016-03,Number Of Air Passenger Arrivals,Europe,147937
2016-03,Number Of Air Passenger Arrivals,North America,15538
2016-03,Number Of Air Passenger Arrivals,Other Regions,8095
2016-04,Number Of Air Passenger Arrivals,South East Asia,1084205
2016-04,Number Of Air Passenger Arrivals,North East Asia,639740
2016-04,Number Of Air Passenger Arrivals,South Asia,210858
2016-04,Number Of Air Passenger Arrivals,Middle East,57665
2016-04,Number Of Air Passenger Arrivals,Oceania,237287
2016-04,Number Of Air Passenger Arrivals,Europe,131631
2016-04,Number Of Air Passenger Arrivals,North America,14431
2016-04,Number Of Air Passenger Arrivals,Other Regions,8374
2016-05,Number Of Air Passenger Arrivals,South East Asia,1110887
2016-05,Number Of Air Passenger Arrivals,North East Asia,598111
2016-05,Number Of Air Passenger Arrivals,South Asia,222968
2016-05,Number Of Air Passenger Arrivals,Middle East,59167
2016-05,Number Of Air Passenger Arrivals,Oceania,218606
2016-05,Number Of Air Passenger Arrivals,Europe,130767
2016-05,Number Of Air Passenger Arrivals,North America,19342
2016-05,Number Of Air Passenger Arrivals,Other Regions,6941
2016-06,Number Of Air Passenger Arrivals,South East Asia,1081679
2016-06,Number Of Air Passenger Arrivals,North East Asia,644231
2016-06,Number Of Air Passenger Arrivals,South Asia,197209
2016-06,Number Of Air Passenger Arrivals,Middle East,58651
2016-06,Number Of Air Passenger Arrivals,Oceania,260169
2016-06,Number Of Air Passenger Arrivals,Europe,146792
2016-06,Number Of Air Passenger Arrivals,North America,29580
2016-06,Number Of Air Passenger Arrivals,Other Regions,7236
2016-07,Number Of Air Passenger Arrivals,South East Asia,1110889
2016-07,Number Of Air Passenger Arrivals,North East Asia,711527
2016-07,Number Of Air Passenger Arrivals,South Asia,209067
2016-07,Number Of Air Passenger Arrivals,Middle East,82915
2016-07,Number Of Air Passenger Arrivals,Oceania,256395
2016-07,Number Of Air Passenger Arrivals,Europe,201791
2016-07,Number Of Air Passenger Arrivals,North America,28737
2016-07,Number Of Air Passenger Arrivals,Other Regions,8591
2016-08,Number Of Air Passenger Arrivals,South East Asia,1069110
2016-08,Number Of Air Passenger Arrivals,North East Asia,645188
2016-08,Number Of Air Passenger Arrivals,South Asia,202494
2016-08,Number Of Air Passenger Arrivals,Middle East,66186
2016-08,Number Of Air Passenger Arrivals,Oceania,239040
2016-08,Number Of Air Passenger Arrivals,Europe,185086
2016-08,Number Of Air Passenger Arrivals,North America,22440
2016-08,Number Of Air Passenger Arrivals,Other Regions,9422
2016-09,Number Of Air Passenger Arrivals,South East Asia,994237
2016-09,Number Of Air Passenger Arrivals,North East Asia,566236
2016-09,Number Of Air Passenger Arrivals,South Asia,190566
2016-09,Number Of Air Passenger Arrivals,Middle East,61557
2016-09,Number Of Air Passenger Arrivals,Oceania,243931
2016-09,Number Of Air Passenger Arrivals,Europe,172781
2016-09,Number Of Air Passenger Arrivals,North America,21462
2016-09,Number Of Air Passenger Arrivals,Other Regions,8028
2016-10,Number Of Air Passenger Arrivals,South East Asia,1041372
2016-10,Number Of Air Passenger Arrivals,North East Asia,585639
2016-10,Number Of Air Passenger Arrivals,South Asia,204524
2016-10,Number Of Air Passenger Arrivals,Middle East,62822
2016-10,Number Of Air Passenger Arrivals,Oceania,228783
2016-10,Number Of Air Passenger Arrivals,Europe,190505
2016-10,Number Of Air Passenger Arrivals,North America,25409
2016-10,Number Of Air Passenger Arrivals,Other Regions,8690
2016-11,Number Of Air Passenger Arrivals,South East Asia,1032167
2016-11,Number Of Air Passenger Arrivals,North East Asia,611995
2016-11,Number Of Air Passenger Arrivals,South Asia,212708
2016-11,Number Of Air Passenger Arrivals,Middle East,53959
2016-11,Number Of Air Passenger Arrivals,Oceania,243373
2016-11,Number Of Air Passenger Arrivals,Europe,144386
2016-11,Number Of Air Passenger Arrivals,North America,28273
2016-11,Number Of Air Passenger Arrivals,Other Regions,7095
2016-12,Number Of Air Passenger Arrivals,South East Asia,1228057
2016-12,Number Of Air Passenger Arrivals,North East Asia,725904
2016-12,Number Of Air Passenger Arrivals,South Asia,256563
2016-12,Number Of Air Passenger Arrivals,Middle East,89445
2016-12,Number Of Air Passenger Arrivals,Oceania,324590
2016-12,Number Of Air Passenger Arrivals,Europe,172207
2016-12,Number Of Air Passenger Arrivals,North America,32262
2016-12,Number Of Air Passenger Arrivals,Other Regions,9086
2017-01,Number Of Air Passenger Arrivals,South East Asia,1121253
2017-01,Number Of Air Passenger Arrivals,North East Asia,714742
2017-01,Number Of Air Passenger Arrivals,South Asia,254276
2017-01,Number Of Air Passenger Arrivals,Middle East,75821
2017-01,Number Of Air Passenger Arrivals,Oceania,270370
2017-01,Number Of Air Passenger Arrivals,Europe,166352
2017-01,Number Of Air Passenger Arrivals,North America,31408
2017-01,Number Of Air Passenger Arrivals,Other Regions,7816
2017-02,Number Of Air Passenger Arrivals,South East Asia,1048128
2017-02,Number Of Air Passenger Arrivals,North East Asia,612635
2017-02,Number Of Air Passenger Arrivals,South Asia,223881
2017-02,Number Of Air Passenger Arrivals,Middle East,63060
2017-02,Number Of Air Passenger Arrivals,Oceania,211656
2017-02,Number Of Air Passenger Arrivals,Europe,157810
2017-02,Number Of Air Passenger Arrivals,North America,24489
2017-02,Number Of Air Passenger Arrivals,Other Regions,6387
2017-03,Number Of Air Passenger Arrivals,South East Asia,1173686
2017-03,Number Of Air Passenger Arrivals,North East Asia,643052
2017-03,Number Of Air Passenger Arrivals,South Asia,215656
2017-03,Number Of Air Passenger Arrivals,Middle East,72126
2017-03,Number Of Air Passenger Arrivals,Oceania,245162
2017-03,Number Of Air Passenger Arrivals,Europe,159155
2017-03,Number Of Air Passenger Arrivals,North America,26480
2017-03,Number Of Air Passenger Arrivals,Other Regions,7838
2017-04,Number Of Air Passenger Arrivals,South East Asia,1168110
2017-04,Number Of Air Passenger Arrivals,North East Asia,656846
2017-04,Number Of Air Passenger Arrivals,South Asia,235993
2017-04,Number Of Air Passenger Arrivals,Middle East,62072
2017-04,Number Of Air Passenger Arrivals,Oceania,258039
2017-04,Number Of Air Passenger Arrivals,Europe,160399
